win,Joaquin Buckley
Colby Covington,,0 0,75 37,0 1,1 0,Welterweight,KO/TKO,3,4:42
win,Cub Swanson
Billy Quarantillo,,1 0,99 97,0 3,0 0,Featherweight,KO/TKO Punch,3,1:36
win,Manel Kape
Bruno Silva,,1 0,111 57,0 0,0 0,Flyweight,KO/TKO Punches,3,1:57
win,Dustin Jacoby
Vitor Petrino,,1 0,45 40,0 0,0 0,Light Heavyweight,KO/TKO Punch,3,3:44
win,Daniel Marcos
Adrian Yanez,,0 0,86 79,2 0,0 0,Bantamweight,S-DEC,3,5:00
win,Navajo Stirling
Tuco Tokkos,,0 0,78 32,0 3,0 0,Light Heavyweight,U-DEC,3,5:00
win,Michael Johnson
Ottman Azaitar,,1 0,19 16,0 0,0 0,Lightweight,KO/TKO Punch,2,2:03
win,Joel Alvarez
Drakkar Klose,,0 0,20 7,0 1,0 0,Lightweight,KO/TKO Knee,1,2:48
win,Sean Woodson
Fernando Padilla,,1 0,38 22,0 0,0 0,Featherweight,KO/TKO Punches,1,4:58
win,Felipe Lima
Miles Johns,,0 0,55 31,2 0,1 0,Featherweight,U-DEC,3,5:00
win,Miranda Maverick
Jamey-Lyn Horth,,0 0,24 15,2 1,0 1,Women's Flyweight,U-DEC,3,5:00
win,Davey Grant
Ramon Taveras,,0 0,147 69,0 0,0 0,Bantamweight,U-DEC,3,5:00
win,Piera Rodriguez
Josefine Knutsson,,0 0,36 26,8 0,0 0,Women's Strawweight,U-DEC,3,5:00
